Time,dataSeries.pv[1],dataSeries.pv[2],dataSeries.pv[3],dataSeries.bldg[1],dataSeries.bldg[2],dataSeries.bldg[3]
0,-0,-0,-0,-8.51079,-3.49787,-98.5275
60,-0,-0,-0,-8.2978,-6.90416,-93.3973
60,-0,-0,-0,-8.2978,-6.90416,-93.3973
120,-0,-0,-0,-8.08481,-10.3105,-88.267
120,-0,-0,-0,-8.08481,-10.3105,-88.267
180,-0,-0,-0,-7.87181,-13.7167,-83.1367
180,-0,-0,-0,-7.87181,-13.7167,-83.1367
240,-0,-0,-0,-7.65882,-17.123,-78.0064
240,-0,-0,-0,-7.65882,-17.123,-78.0064
300,-0,-0,-0,-7.44583,-20.5293,-72.8762
300,-0,-0,-0,-7.44583,-20.5293,-72.8762
360,-0,-0,-0,-7.23283,-23.9356,-67.7459
360,-0,-0,-0,-7.23283,-23.9356,-67.7459
420,-0,-0,-0,-7.01984,-27.3419,-62.6156
420,-0,-0,-0,-7.01984,-27.3419,-62.6156
480,-0,-0,-0,-6.80685,-30.7482,-57.4853
480,-0,-0,-0,-6.80685,-30.7482,-57.4853
540,-0,-0,-0,-6.59386,-34.1545,-52.355
540,-0,-0,-0,-6.59386,-34.1545,-52.355
600,-0,-0,-0,-6.38086,-37.5608,-47.2248
600,-0,-0,-0,-6.38086,-37.5608,-47.2248
660,-0,-0,-0,-6.16787,-40.9671,-42.0945
660,-0,-0,-0,-6.16787,-40.9671,-42.0945
720,-0,-0,-0,-5.95488,-44.3733,-36.9642
720,-0,-0,-0,-5.95488,-44.3733,-36.9642
780,-0,-0,-0,-5.74188,-47.7796,-31.8339
780,-0,-0,-0,-5.74188,-47.7796,-31.8339
840,-0,-0,-0,-5.52889,-51.1859,-26.7037
840,-0,-0,-0,-5.52889,-51.1859,-26.7037
900,-0,-0,-0,-5.3159,-54.5922,-21.5734
900,-0,-0,-0,-5.3159,-54.5922,-21.5734
960,-0,-0,-0,-5.55025,-55.377,-20.4072
960,-0,-0,-0,-5.55025,-55.377,-20.4072
1020,-0,-0,-0,-5.78461,-56.1618,-19.2411
1020,-0,-0,-0,-5.78461,-56.1618,-19.2411
1080,-0,-0,-0,-6.01896,-56.9466,-18.075
1080,-0,-0,-0,-6.01896,-56.9466,-18.075
1140,5.60519e-45,7.00649e-45,7.00649e-45,-6.25331,-57.7314,-16.9088
1140,5.60519e-45,7.00649e-45,7.00649e-45,-6.25331,-57.7314,-16.9088
1200,5.60519e-45,7.00649e-45,7.00649e-45,-6.48766,-58.5162,-15.7427
1200,5.60519e-45,7.00649e-45,7.00649e-45,-6.48766,-58.5162,-15.7427
1260,5.60519e-45,7.00649e-45,7.00649e-45,-6.72202,-59.301,-14.5766
1260,5.60519e-45,7.00649e-45,7.00649e-45,-6.72202,-59.301,-14.5766
1320,5.60519e-45,7.00649e-45,7.00649e-45,-6.95637,-60.0858,-13.4104
1320,5.60519e-45,7.00649e-45,7.00649e-45,-6.95637,-60.0858,-13.4104
1380,5.60519e-45,7.00649e-45,7.00649e-45,-7.19072,-60.8706,-12.2443
1380,5.60519e-45,7.00649e-45,7.00649e-45,-7.19072,-60.8706,-12.2443
1440,5.60519e-45,7.00649e-45,7.00649e-45,-7.42508,-61.6554,-11.0782
1440,5.60519e-45,7.00649e-45,7.00649e-45,-7.42508,-61.6554,-11.0782
1500,5.60519e-45,7.00649e-45,7.00649e-45,-7.65943,-62.4402,-9.91204
1500,5.60519e-45,7.00649e-45,7.00649e-45,-7.65943,-62.4402,-9.91204
1560,5.60519e-45,7.00649e-45,7.00649e-45,-7.89378,-63.225,-8.7459
1560,5.60519e-45,7.00649e-45,7.00649e-45,-7.89378,-63.225,-8.7459
1620,5.60519e-45,7.00649e-45,7.00649e-45,-8.12814,-64.0098,-7.57977
1620,5.60519e-45,7.00649e-45,7.00649e-45,-8.12814,-64.0098,-7.57977
1680,-0,-0,-0,-8.36249,-64.7946,-6.41364
1680,-0,-0,-0,-8.36249,-64.7946,-6.41364
1740,5.60519e-45,7.00649e-45,7.00649e-45,-8.59684,-65.5794,-5.2475
1740,5.60519e-45,7.00649e-45,7.00649e-45,-8.59684,-65.5794,-5.2475
1800,5.60519e-45,7.00649e-45,7.00649e-45,-8.83119,-66.3642,-4.08137
1800,5.60519e-45,7.00649e-45,7.00649e-45,-8.83119,-66.3642,-4.08137
1860,5.60519e-45,7.00649e-45,7.00649e-45,-8.71604,-65.8196,-8.12246
1860,5.60519e-45,7.00649e-45,7.00649e-45,-8.71604,-65.8196,-8.12246
1920,5.60519e-45,7.00649e-45,7.00649e-45,-8.60088,-65.2749,-12.1635
1920,5.60519e-45,7.00649e-45,7.00649e-45,-8.60088,-65.2749,-12.1635
1980,5.60519e-45,7.00649e-45,7.00649e-45,-8.48572,-64.7303,-16.2046
1980,5.60519e-45,7.00649e-45,7.00649e-45,-8.48572,-64.7303,-16.2046
2040,5.60519e-45,7.00649e-45,7.00649e-45,-8.37056,-64.1857,-20.2457
2040,5.60519e-45,7.00649e-45,7.00649e-45,-8.37056,-64.1857,-20.2457
