Time,T_amb,T_gnd,sRadS,sRadN,sRadE,sRadW,IntHG
1.728e+07,294.15,293.87,0.000104072,0.000190125,0.000104072,0.000109102,0
1.72801e+07,294.15,293.87,0.00010407,0.000190148,0.00010407,0.000108278,0
1.72802e+07,294.15,293.87,0.000104068,0.000190167,0.000104068,0.000107454,0
1.72804e+07,294.15,293.87,0.000104067,0.000190181,0.000104067,0.000106631,0
1.72805e+07,294.15,293.87,0.000104066,0.000190192,0.000104066,0.000105808,0
1.72806e+07,294.15,293.87,0.000104065,0.000190198,0.000104065,0.000104985,0
1.72807e+07,294.15,293.87,0.000104065,0.000190201,0.000104065,0.000104162,0
1.72808e+07,294.15,293.87,0.000104065,0.000190199,0.00010479,0.000104065,0
1.7281e+07,294.15,293.87,0.000104066,0.000190193,0.000105613,0.000104066,0
1.72811e+07,294.15,293.87,0.000104066,0.000190183,0.000106436,0.000104066,0
1.72812e+07,294.15,293.87,0.000104068,0.000190168,0.00010726,0.000104068,0
1.72813e+07,294.15,293.87,0.000104069,0.00019015,0.000108083,0.000104069,0
1.72815e+07,294.15,293.87,0.000104071,0.000190127,0.000108907,0.000104071,0
1.72816e+07,294.15,293.87,0.000104074,0.000190101,0.00010973,0.000104074,0
1.72817e+07,294.15,293.87,0.000104077,0.00019007,0.000110554,0.000104077,0
1.72818e+07,294.15,293.87,0.00010408,0.000190035,0.000111377,0.00010408,0
1.72819e+07,294.15,293.87,0.000104083,0.000189996,0.0001122,0.000104083,0
1.72821e+07,294.15,293.87,0.000104087,0.000189953,0.000113023,0.000104087,0
1.72822e+07,294.15,293.87,0.000104091,0.000189905,0.000113846,0.000104091,0
1.72823e+07,294.15,293.87,0.000104096,0.000189854,0.000114668,0.000104096,0
1.72824e+07,294.15,293.87,0.000104101,0.000189798,0.00011549,0.000104101,0
1.72825e+07,294.15,293.87,0.000104106,0.000189738,0.000116311,0.000104106,0
1.72827e+07,294.15,293.87,0.000104112,0.000189675,0.000117132,0.000104112,0
1.72828e+07,294.15,293.87,0.000104118,0.000189607,0.000117952,0.000104118,0
1.72829e+07,294.15,293.87,0.000104125,0.000189535,0.000118772,0.000104125,0
1.7283e+07,294.15,293.87,0.000104132,0.000189458,0.00011959,0.000104132,0
1.72831e+07,294.15,293.87,0.000104139,0.000189378,0.000120408,0.000104139,0
1.72833e+07,294.15,293.87,0.000104146,0.000189294,0.000121225,0.000104146,0
1.72834e+07,294.15,293.87,0.000104154,0.000189205,0.000122041,0.000104154,0
1.72835e+07,294.15,293.87,0.000104163,0.000189113,0.000122856,0.000104163,0
1.72836e+07,294.15,293.87,0.000104171,0.000189016,0.00012367,0.000104171,0
1.72838e+07,294.151,293.87,0.00010418,0.000188916,0.000124482,0.00010418,0
1.72839e+07,294.153,293.87,0.00010419,0.000188811,0.000125294,0.00010419,0
1.7284e+07,294.155,293.87,0.0001042,0.000188702,0.000126104,0.0001042,0
1.72841e+07,294.159,293.87,0.00010421,0.000188589,0.000126913,0.00010421,0
1.72842e+07,294.163,293.87,0.00010422,0.000188472,0.000127721,0.00010422,0
1.72844e+07,294.167,293.87,0.000104231,0.000188352,0.000128527,0.000104231,0
1.72845e+07,294.172,293.87,0.000104242,0.000188227,0.000129331,0.000104242,0
1.72846e+07,294.178,293.87,0.000104253,0.000188098,0.000130134,0.000104253,0
1.72847e+07,294.183,293.87,0.000104265,0.000187965,0.000130935,0.000104265,0
1.72848e+07,294.189,293.87,0.000104278,0.000187828,0.000131735,0.000104278,0
1.7285e+07,294.194,293.87,0.00010429,0.000187687,0.000132532,0.00010429,0
1.72851e+07,294.2,293.87,0.000104303,0.000187542,0.000133328,0.000104303,0
1.72852e+07,294.205,293.87,0.000104316,0.000187393,0.000134122,0.000104316,0
1.72853e+07,294.21,293.87,0.00010433,0.000187241,0.000134914,0.00010433,0
1.72854e+07,294.214,293.87,0.000104343,0.000187084,0.000135704,0.000104343,0
1.72856e+07,294.218,293.87,0.000104358,0.000186923,0.000136492,0.000104358,0
1.72857e+07,294.221,293.87,0.000104372,0.000186759,0.000137278,0.000104372,0
1.72858e+07,294.223,293.87,0.000104387,0.00018659,0.000138061,0.000104387,0
1.72859e+07,294.224,293.87,0.000104402,0.000186418,0.000138843,0.000104402,0
1.7286e+07,294.224,293.87,0.000104418,0.000186241,0.000139622,0.000104418,0
1.72862e+07,294.223,293.87,0.000104433,0.000186061,0.000140398,0.000104433,0
1.72863e+07,294.221,293.87,0.00010445,0.000185877,0.000141172,0.00010445,0
1.72864e+07,294.217,293.87,0.000104466,0.000185689,0.000141944,0.000104466,0
1.72865e+07,294.212,293.87,0.000104483,0.000185498,0.000142712,0.000104483,0
1.72867e+07,294.205,293.87,0.0001045,0.000185302,0.000143479,0.0001045,0
1.72868e+07,294.196,293.87,0.000104517,0.000185103,0.000144242,0.000104517,0
1.72869e+07,294.186,293.87,0.000104535,0.0001849,0.000145003,0.000104535,0
1.7287e+07,294.173,293.87,0.000104553,0.000184693,0.000145761,0.000104553,0
1.72871e+07,294.158,293.87,0.000104571,0.000184482,0.000146516,0.000104571,0
1.72873e+07,294.142,293.87,0.00010459,0.000184268,0.000147268,0.00010459,0
1.72874e+07,294.123,293.87,0.000104608,0.00018405,0.000148017,0.000104608,0
1.72875e+07,294.102,293.87,0.000104628,0.000183828,0.000148763,0.000104628,0
1.72876e+07,294.079,293.87,0.000104647,0.000183602,0.000149506,0.000104647,0
1.72877e+07,294.054,293.87,0.000104667,0.000183373,0.000150246,0.000104667,0
1.72879e+07,294.027,293.87,0.000104687,0.00018314,0.000150983,0.000104687,0
1.7288e+07,293.999,293.87,0.000104707,0.000182904,0.000151716,0.000104707,0
1.72881e+07,293.969,293.87,0.000104727,0.000182663,0.000152446,0.000104727,0
1.72882e+07,293.938,293.87,0.000104748,0.00018242,0.000153172,0.000104748,0
1.72883e+07,293.906,293.87,0.000104769,0.000182172,0.000153895,0.000104769,0
1.72885e+07,293.872,293.87,0.000104791,0.000181921,0.000154614,0.000104791,0
1.72886e+07,293.837,293.87,0.000104812,0.000181667,0.00015533,0.000104812,0
1.72887e+07,293.802,293.871,0.000104834,0.000181408,0.000156043,0.000104834,0
1.72888e+07,293.765,293.871,0.000104856,0.000181147,0.000156751,0.000104856,0
1.7289e+07,293.728,293.871,0.000104879,0.000180882,0.000157456,0.000104879,0
1.72891e+07,293.69,293.871,0.000104901,0.000180613,0.000158157,0.000104901,0
1.72892e+07,293.652,293.871,0.000104924,0.000180341,0.000158854,0.000104924,0
1.72893e+07,293.613,293.871,0.000104947,0.000180065,0.000159547,0.000104947,0
1.72894e+07,293.574,293.871,0.000104971,0.000179787,0.000160236,0.000104971,0
1.72896e+07,293.535,293.871,0.000104995,0.000179504,0.000160921,0.000104995,0
1.72897e+07,293.495,293.871,0.000105018,0.000179218,0.000161602,0.000105018,0
1.72898e+07,293.456,293.871,0.000105043,0.000178929,0.000162279,0.000105043,0
1.72899e+07,293.417,293.871,0.000105067,0.000178637,0.000162952,0.000105067,0
1.729e+07,293.379,293.871,0.000105092,0.000178341,0.00016362,0.000105092,0
1.72902e+07,293.341,293.871,0.000105116,0.000178042,0.000164285,0.000105116,0
1.72903e+07,293.303,293.871,0.000105141,0.00017774,0.000164944,0.000105141,0
1.72904e+07,293.266,293.871,0.000105167,0.000177434,0.0001656,0.000105167,0
1.72905e+07,293.23,293.871,0.000105192,0.000177125,0.000166251,0.000105192,0
1.72906e+07,293.194,293.871,0.000105218,0.000176813,0.000166897,0.000105218,0
1.72908e+07,293.16,293.871,0.000105244,0.000176498,0.000167539,0.000105244,0
1.72909e+07,293.126,293.871,0.00010527,0.00017618,0.000168177,0.00010527,0
1.7291e+07,293.092,293.871,0.000105297,0.000175858,0.000168809,0.000105297,0
1.72911e+07,293.059,293.871,0.000105323,0.000175533,0.000169438,0.000105323,0
1.72912e+07,293.025,293.871,0.00010535,0.000175206,0.000170061,0.00010535,0
1.72914e+07,292.992,293.871,0.000105377,0.000174875,0.000170679,0.000105377,0
1.72915e+07,292.958,293.871,0.000105404,0.000174541,0.000171293,0.000105404,0
1.72916e+07,292.924,293.871,0.000105432,0.000174204,0.000171902,0.000105432,0
1.72917e+07,292.891,293.871,0.000105459,0.000173865,0.000172505,0.000105459,0
1.72919e+07,292.857,293.871,0.000105487,0.000173522,0.000173104,0.000105487,0
1.7292e+07,292.824,293.871,0.000105515,0.000173176,0.000173698,0.000105515,0
1.72921e+07,292.79,293.871,0.000105543,0.000172828,0.000174287,0.000105543,0
1.72922e+07,292.756,293.871,0.000105572,0.000172476,0.00017487,0.000105572,0
1.72923e+07,292.723,293.871,0.0001056,0.000172122,0.000175448,0.0001056,0
1.72925e+07,292.689,293.871,0.000105629,0.000171765,0.000176022,0.000105629,0
1.72926e+07,292.656,293.871,0.000105658,0.000171405,0.00017659,0.000105658,0
1.72927e+07,292.622,293.871,0.000105687,0.000171042,0.000177152,0.000105687,0
1.72928e+07,292.588,293.871,0.000105717,0.000170677,0.000177709,0.000105717,0
1.72929e+07,292.555,293.871,0.000105746,0.000170308,0.000178261,0.000105746,0
1.72931e+07,292.521,293.871,0.000105776,0.000169938,0.000178808,0.000105776,0
1.72932e+07,292.488,293.871,0.000105806,0.000169564,0.000179349,0.000105806,0
1.72933e+07,292.454,293.871,0.000105836,0.000169188,0.000179884,0.000105836,0
1.72934e+07,292.42,293.871,0.000105866,0.000168809,0.000180414,0.000105866,0
1.72935e+07,292.387,293.871,0.000105896,0.000168428,0.000180938,0.000105896,0
1.72937e+07,292.353,293.871,0.000105927,0.000168044,0.000181457,0.000105927,0
1.72938e+07,292.32,293.871,0.000105957,0.000167658,0.00018197,0.000105957,0
1.72939e+07,292.286,293.871,0.000105988,0.000167269,0.000182477,0.000105988,0
1.7294e+07,292.252,293.871,0.000106019,0.000166878,0.000182979,0.000106019,0
1.72942e+07,292.219,293.871,0.00010605,0.000166484,0.000183474,0.00010605,0
1.72943e+07,292.185,293.871,0.000106082,0.000166088,0.000183964,0.000106082,0
1.72944e+07,292.152,293.871,0.000106113,0.00016569,0.000184448,0.000106113,0
1.72945e+07,292.115,293.871,0.000106145,0.000165289,0.000184926,0.000106145,0
1.72946e+07,292.073,293.871,0.000106176,0.000164886,0.000185398,0.000106176,0
